,cellID,t_predominant,geometry
0,100373,HD,"POLYGON ((4.884201186510612 52.37918797589442, 4.884201186510612 52.37946215565132, 4.884650344152672 52.37946215565132, 4.884650344152672 52.37918797589442, 4.884201186510612 52.37918797589442))"
1,109430,HD,"POLYGON ((4.894980969920047 52.37809123984228, 4.894980969920047 52.378365426409, 4.895430127562107 52.378365426409, 4.895430127562107 52.37809123984228, 4.894980969920047 52.37809123984228))"
2,44457,HD,"POLYGON ((4.813683436707231 52.35642512090961, 4.813683436707231 52.35669944198477, 4.81413259434929 52.35669944198477, 4.81413259434929 52.35642512090961, 4.813683436707231 52.35642512090961))"
3,127836,Industrial,"POLYGON ((4.917888009665095 52.36108834760862, 4.917888009665095 52.36136263973666, 4.918337167307154 52.36136263973666, 4.918337167307154 52.36108834760862, 4.917888009665095 52.36108834760862))"
4,143369,Industrial,"POLYGON ((4.940345891768082 52.31223721849478, 4.940345891768082 52.31251181377734, 4.940795049410143 52.31251181377734, 4.940795049410143 52.31223721849478, 4.940345891768082 52.31223721849478))"
5,83219,Water,"POLYGON ((4.864438250259983 52.35532781958085, 4.864438250259983 52.35560214746727, 4.864887407902042 52.35560214746727, 4.864887407902042 52.35532781958085, 4.864438250259983 52.35532781958085))"
6,104517,HD,"POLYGON ((4.88914192057327 52.37534928053834, 4.88914192057327 52.37562348412996, 4.88959107821533 52.37562348412996, 4.88959107821533 52.37534928053834, 4.88914192057327 52.37534928053834))"
7,95392,HD,"POLYGON ((4.878362137163835 52.36328263695672, 4.878362137163835 52.36355691546302, 4.878811294805895 52.36355691546302, 4.878811294805895 52.36328263695672, 4.878362137163835 52.36328263695672))"
8,124622,HD,"POLYGON ((4.913396433244497 52.35752239499341, 4.913396433244497 52.35779670925737, 4.913845590886557 52.35779670925737, 4.913845590886557 52.35752239499341, 4.913396433244497 52.35752239499341))"
9,91943,HD,"POLYGON ((4.874319718385298 52.36191121888456, 4.874319718385298 52.36218550590442, 4.874768876027358 52.36218550590442, 4.874768876027358 52.36191121888456, 4.874319718385298 52.36191121888456))"
10,80728,Green_Urban,"POLYGON ((4.861743304407625 52.32157250246792, 4.861743304407625 52.32184703983411, 4.862192462049684 52.32184703983411, 4.862192462049684 52.32157250246792, 4.861743304407625 52.32157250246792))"
11,109316,Green_Urban,"POLYGON ((4.894980969920047 52.34682281047856, 4.894980969920047 52.3470971911546, 4.895430127562107 52.3470971911546, 4.895430127562107 52.34682281047856, 4.894980969920047 52.34682281047856))"
12,73211,HD,"POLYGON ((4.85186183628231 52.36602534539885, 4.85186183628231 52.36629960687837, 4.85231099392437 52.36629960687837, 4.85231099392437 52.36602534539885, 4.85186183628231 52.36602534539885))"
13,156490,Water,"POLYGON ((4.953820621029876 52.29520898387636, 4.953820621029876 52.29548368478381, 4.954269778671936 52.29548368478381, 4.954269778671936 52.29520898387636, 4.953820621029876 52.29520898387636))"
