,cellID,t_predominant,geometry
0,349,Transport,"POLYGON ((2.090226941933031 41.42624435122566, 2.090226941933031 41.42759146536193, 2.09202357250127 41.42759146536193, 2.09202357250127 41.42624435122566, 2.090226941933031 41.42624435122566))"
1,2580,MD,"POLYGON ((2.153109011821397 41.40872932409298, 2.153109011821397 41.41007680156227, 2.154905642389636 41.41007680156227, 2.154905642389636 41.40872932409298, 2.153109011821397 41.40872932409298))"
2,3136,HD,"POLYGON ((2.163888795230831 41.44240787613467, 2.163888795230831 41.4437546548619, 2.16568542579907 41.4437546548619, 2.16568542579907 41.44240787613467, 2.163888795230831 41.44240787613467))"
3,4359,HD,"POLYGON ((2.190838253754417 41.42220284111941, 2.190838253754417 41.42355003910423, 2.192634884322656 41.42355003910423, 2.192634884322656 41.42220284111941, 2.190838253754417 41.42220284111941))"
4,3723,HD,"POLYGON ((2.176465209208505 41.39390522742995, 2.176465209208505 41.39525301231302, 2.178261839776744 41.39525301231302, 2.178261839776744 41.39390522742995, 2.176465209208505 41.39390522742995))"
5,3795,HD,"POLYGON ((2.178261839776744 41.38581793127754, 2.178261839776744 41.38716588383236, 2.180058470344983 41.38716588383236, 2.180058470344983 41.38581793127754, 2.178261839776744 41.38581793127754))"
6,591,Sports,"POLYGON ((2.106396617047182 41.38042584161283, 2.106396617047182 41.38177390594549, 2.108193247615421 41.38177390594549, 2.108193247615421 41.38042584161283, 2.106396617047182 41.38042584161283))"
7,2480,HD,"POLYGON ((2.151312381253158 41.39525301231302, 2.151312381253158 41.39660076925019, 2.153109011821397 41.39660076925019, 2.153109011821397 41.39525301231302, 2.151312381253158 41.39525301231302))"
8,1452,Industrial,"POLYGON ((2.131549445002528 41.40603428531196, 2.131549445002528 41.40738181867616, 2.133346075570768 41.40738181867616, 2.133346075570768 41.40603428531196, 2.131549445002528 41.40603428531196))"
9,2854,HD,"POLYGON ((2.158498903526114 41.40738181867616, 2.158498903526114 41.40872932409298, 2.160295534094353 41.40872932409298, 2.160295534094353 41.40738181867616, 2.158498903526114 41.40738181867616))"
10,556,LD,"POLYGON ((2.104599986478943 41.39390522742995, 2.104599986478943 41.39525301231302, 2.106396617047182 41.39525301231302, 2.106396617047182 41.39390522742995, 2.104599986478943 41.39390522742995))"
11,2210,HD,"POLYGON ((2.145922489548441 41.40468672400057, 2.145922489548441 41.40603428531196, 2.14771912011668 41.40603428531196, 2.14771912011668 41.40468672400057, 2.145922489548441 41.40468672400057))"
12,1355,HD,"POLYGON ((2.12975281443429 41.39120957382688, 2.12975281443429 41.39255741460119, 2.131549445002528 41.39255741460119, 2.131549445002528 41.39120957382688, 2.12975281443429 41.39120957382688))"
13,3494,HD,"POLYGON ((2.171075317503787 41.43163264007098, 2.171075317503787 41.43297964240687, 2.172871948072027 41.43297964240687, 2.172871948072027 41.43163264007098, 2.171075317503787 41.43163264007098))"
14,4706,Industrial,"POLYGON ((2.201618037163851 41.44644812846072, 2.201618037163851 41.447794823332, 2.20341466773209 41.447794823332, 2.20341466773209 41.44644812846072, 2.201618037163851 41.44644812846072))"
