,cellID,t_predominant,geometry
0,1612,Transport,"POLYGON ((-9.200191195624063 38.69700843501852, -9.200191195624063 38.69770953347049, -9.199292880339943 38.69770953347049, -9.199292880339943 38.69700843501852, -9.200191195624063 38.69700843501852))"
1,5508,HD,"POLYGON ((-9.169648475963999 38.71733749978417, -9.169648475963999 38.71803839892058, -9.168750160679879 38.71803839892058, -9.168750160679879 38.71733749978417, -9.169648475963999 38.71733749978417))"
2,3440,MD,"POLYGON ((-9.18581815107815 38.76148071992191, -9.18581815107815 38.76218118595398, -9.18491983579403 38.76218118595398, -9.18491983579403 38.76148071992191, -9.18581815107815 38.76148071992191))"
3,2539,Industrial,"POLYGON ((-9.193004673351107 38.75657726517623, -9.193004673351107 38.75727777933832, -9.192106358066987 38.75727777933832, -9.192106358066987 38.75657726517623, -9.193004673351107 38.75657726517623))"
4,8968,Green_Urban,"POLYGON ((-9.145393963292772 38.71944017657285, -9.145393963292772 38.72014105508861, -9.144495648008652 38.72014105508861, -9.144495648008652 38.71944017657285, -9.145393963292772 38.71944017657285))"
5,7787,HD,"POLYGON ((-9.153478800849847 38.70962715564244, -9.153478800849847 38.71032813038504, -9.152580485565727 38.71032813038504, -9.152580485565727 38.70962715564244, -9.153478800849847 38.70962715564244))"
6,4850,Industrial,"POLYGON ((-9.175038367668716 38.766383837752, -9.175038367668716 38.76708425565224, -9.174140052384596 38.76708425565224, -9.174140052384596 38.766383837752, -9.175038367668716 38.766383837752))"
7,12766,HD,"POLYGON ((-9.113952928348589 38.74676934498922, -9.113952928348589 38.74746995540587, -9.113054613064469 38.74746995540587, -9.113054613064469 38.74676934498922, -9.113952928348589 38.74676934498922))"
8,12262,HD,"POLYGON ((-9.119342820053305 38.77618906261446, -9.119342820053305 38.77688938424556, -9.118444504769185 38.77688938424556, -9.118444504769185 38.77618906261446, -9.119342820053305 38.77618906261446))"
9,6071,HD,"POLYGON ((-9.166055214827519 38.76218118595398, -9.166055214827519 38.7628816451102, -9.165156899543401 38.7628816451102, -9.165156899543401 38.76218118595398, -9.166055214827519 38.76218118595398))"
10,12318,Industrial,"POLYGON ((-9.118444504769185 38.74887115561389, -9.118444504769185 38.74957174540518, -9.117546189485065 38.74957174540518, -9.117546189485065 38.74887115561389, -9.118444504769185 38.74887115561389))"
11,8567,HD,"POLYGON ((-9.14808890914513 38.71032813038504, -9.14808890914513 38.71102909825451, -9.14719059386101 38.71102909825451, -9.14719059386101 38.71032813038504, -9.14808890914513 38.71032813038504))"
12,8111,Industrial,"POLYGON ((-9.151682170281608 38.75517621622537, -9.151682170281608 38.75587674413855, -9.150783854997488 38.75587674413855, -9.150783854997488 38.75517621622537, -9.151682170281608 38.75517621622537))"
13,2003,HD,"POLYGON ((-9.197496249771705 38.76007976723029, -9.197496249771705 38.76078024701399, -9.196597934487585 38.76078024701399, -9.196597934487585 38.76007976723029, -9.197496249771705 38.76007976723029))"
14,14245,Industrial,"POLYGON ((-9.095986622666199 38.76218118595398, -9.095986622666199 38.7628816451102, -9.095088307382079 38.7628816451102, -9.095088307382079 38.76218118595398, -9.095986622666199 38.76218118595398))"
15,6886,Industrial,"POLYGON ((-9.159767007838685 38.7138329010007, -9.159767007838685 38.71453383450412, -9.158868692554565 38.71453383450412, -9.158868692554565 38.7138329010007, -9.159767007838685 38.7138329010007))"
16,5825,HD,"POLYGON ((-9.167851845395759 38.76498298132329, -9.167851845395759 38.76568341297566, -9.166953530111639 38.76568341297566, -9.166953530111639 38.76498298132329, -9.167851845395759 38.76498298132329))"
17,193,Industrial,"POLYGON ((-9.220852447158812 38.69700843501852, -9.220852447158812 38.69770953347049, -9.219954131874692 38.69770953347049, -9.219954131874692 38.69700843501852, -9.220852447158812 38.69700843501852))"
18,14118,Industrial,"POLYGON ((-9.097783253234438 38.77618906261446, -9.097783253234438 38.77688938424556, -9.096884937950318 38.77688938424556, -9.096884937950318 38.77618906261446, -9.097783253234438 38.77618906261446))"
19,4832,HD,"POLYGON ((-9.175038367668716 38.75377513977254, -9.175038367668716 38.75447568143668, -9.174140052384596 38.75447568143668, -9.174140052384596 38.75377513977254, -9.175038367668716 38.75377513977254))"
20,7147,HD,"POLYGON ((-9.157970377270445 38.71523476113421, -9.157970377270445 38.71593568089095, -9.157072061986327 38.71593568089095, -9.157072061986327 38.71523476113421, -9.157970377270445 38.71523476113421))"
21,7282,HD,"POLYGON ((-9.157072061986327 38.7187392911835, -9.157072061986327 38.71944017657285, -9.156173746702207 38.71944017657285, -9.156173746702207 38.7187392911835, -9.157072061986327 38.7187392911835))"
22,14106,Industrial,"POLYGON ((-9.097783253234438 38.76778466667636, -9.097783253234438 38.76848507082431, -9.096884937950318 38.76848507082431, -9.096884937950318 38.76778466667636, -9.097783253234438 38.76778466667636))"
23,10287,HD,"POLYGON ((-9.135512495167458 38.73836148374647, -9.135512495167458 38.73906217666121, -9.134614179883338 38.73906217666121, -9.134614179883338 38.73836148374647, -9.135512495167458 38.73836148374647))"
24,14087,Industrial,"POLYGON ((-9.097783253234438 38.75447568143668, -9.097783253234438 38.75517621622537, -9.096884937950318 38.75517621622537, -9.096884937950318 38.75447568143668, -9.097783253234438 38.75447568143668))"
25,10670,Transport,"POLYGON ((-9.132817549315099 38.76848507082431, -9.132817549315099 38.76918546809608, -9.131919234030979 38.76918546809608, -9.131919234030979 38.76848507082431, -9.132817549315099 38.76848507082431))"
26,1687,HD,"POLYGON ((-9.200191195624063 38.74957174540518, -9.200191195624063 38.75027232832128, -9.199292880339943 38.75027232832128, -9.199292880339943 38.74957174540518, -9.200191195624063 38.74957174540518))"
27,7165,HD,"POLYGON ((-9.157970377270445 38.72785026509451, -9.157970377270445 38.7285510611243, -9.157072061986327 38.7285510611243, -9.157072061986327 38.72785026509451, -9.157970377270445 38.72785026509451))"
28,7139,HD,"POLYGON ((-9.157970377270445 38.70962715564244, -9.157970377270445 38.71032813038504, -9.157072061986327 38.71032813038504, -9.157072061986327 38.70962715564244, -9.157970377270445 38.70962715564244))"
29,14229,Industrial,"POLYGON ((-9.095986622666199 38.75097290436214, -9.095986622666199 38.75167347352775, -9.095088307382079 38.75167347352775, -9.095088307382079 38.75097290436214, -9.095986622666199 38.75097290436214))"
30,8752,MD,"POLYGON ((-9.14719059386101 38.74957174540518, -9.14719059386101 38.75027232832128, -9.146292278576892 38.75027232832128, -9.146292278576892 38.74957174540518, -9.14719059386101 38.74957174540518))"
31,3092,Transport,"POLYGON ((-9.188513096930508 38.75587674413855, -9.188513096930508 38.75657726517623, -9.187614781646388 38.75657726517623, -9.187614781646388 38.75587674413855, -9.188513096930508 38.75587674413855))"
32,13114,HD,"POLYGON ((-9.11035966721211 38.75937928057084, -9.11035966721211 38.76007976723029, -9.10946135192799 38.76007976723029, -9.10946135192799 38.75937928057084, -9.11035966721211 38.75937928057084))"
33,7869,HD,"POLYGON ((-9.153478800849847 38.76708425565224, -9.153478800849847 38.76778466667636, -9.152580485565727 38.76778466667636, -9.152580485565727 38.76708425565224, -9.153478800849847 38.76708425565224))"
34,12849,HD,"POLYGON ((-9.113054613064469 38.74466747248913, -9.113054613064469 38.74536810353082, -9.112156297780349 38.74536810353082, -9.112156297780349 38.74466747248913, -9.113054613064469 38.74466747248913))"
35,12961,HD,"POLYGON ((-9.112156297780349 38.76428254279489, -9.112156297780349 38.76498298132329, -9.11125798249623 38.76498298132329, -9.11125798249623 38.76428254279489, -9.112156297780349 38.76428254279489))"
36,4835,Industrial,"POLYGON ((-9.175038367668716 38.75587674413855, -9.175038367668716 38.75657726517623, -9.174140052384596 38.75657726517623, -9.174140052384596 38.75587674413855, -9.175038367668716 38.75587674413855))"
37,6931,HD,"POLYGON ((-9.159767007838685 38.74536810353082, -9.159767007838685 38.74606872769752, -9.158868692554565 38.74606872769752, -9.158868692554565 38.74536810353082, -9.159767007838685 38.74536810353082))"
38,8750,HD,"POLYGON ((-9.14719059386101 38.74817055894745, -9.14719059386101 38.74887115561389, -9.146292278576892 38.74887115561389, -9.146292278576892 38.74817055894745, -9.14719059386101 38.74817055894745))"
39,7940,Green_Urban,"POLYGON ((-9.152580485565727 38.72644865241286, -9.152580485565727 38.72714946219069, -9.151682170281608 38.72714946219069, -9.151682170281608 38.72644865241286, -9.152580485565727 38.72644865241286))"
40,10813,HD,"POLYGON ((-9.131020918746859 38.71243101337403, -9.131020918746859 38.71313196062399, -9.130122603462739 38.71313196062399, -9.130122603462739 38.71243101337403, -9.131020918746859 38.71243101337403))"
41,6967,Green_Urban,"POLYGON ((-9.159767007838685 38.77058624201083, -9.159767007838685 38.77128661865376, -9.158868692554565 38.77128661865376, -9.158868692554565 38.77058624201083, -9.159767007838685 38.77058624201083))"
42,2743,MD,"POLYGON ((-9.191208042782867 38.74536810353082, -9.191208042782867 38.74606872769752, -9.190309727498747 38.74606872769752, -9.190309727498747 38.74536810353082, -9.191208042782867 38.74536810353082))"
43,12091,HD,"POLYGON ((-9.120241135337425 38.72434618183576, -9.120241135337425 38.72504701223536, -9.119342820053305 38.72504701223536, -9.119342820053305 38.72434618183576, -9.120241135337425 38.72434618183576))"
44,10312,HD,"POLYGON ((-9.135512495167458 38.75587674413855, -9.135512495167458 38.75657726517623, -9.134614179883338 38.75657726517623, -9.134614179883338 38.75587674413855, -9.135512495167458 38.75587674413855))"
