,cellID,t_predominant,geometry
0,46266,HD,"POLYGON ((9.144642115315804 45.48507326533942, 9.144642115315804 45.48538816666194, 9.145091272957865 45.48538816666194, 9.145091272957865 45.48507326533942, 9.144642115315804 45.48507326533942))"
1,43139,Industrial,"POLYGON ((9.140599696537265 45.44191514405419, 9.140599696537265 45.44223028653855, 9.141048854179326 45.44223028653855, 9.141048854179326 45.44191514405419, 9.140599696537265 45.44191514405419))"
2,125953,Transport,"POLYGON ((9.231778697875399 45.48318382043835, 9.231778697875399 45.48349873232257, 9.232227855517458 45.48349873232257, 9.232227855517458 45.48318382043835, 9.231778697875399 45.48318382043835))"
3,60447,HD,"POLYGON ((9.162159263356134 45.45357424360062, 9.162159263356134 45.4538893209531, 9.162608420998195 45.4538893209531, 9.162608420998195 45.45357424360062, 9.162159263356134 45.45357424360062))"
4,73537,HD,"POLYGON ((9.175633992617927 45.51025980867225, 9.175633992617927 45.51057456917314, 9.176083150259988 45.51057456917314, 9.176083150259988 45.51025980867225, 9.175633992617927 45.51025980867225))"
5,112060,HD,"POLYGON ((9.215159865119185 45.47845993094049, 9.215159865119185 45.47877486922903, 9.215609022761246 45.47877486922903, 9.215609022761246 45.47845993094049, 9.215159865119185 45.47845993094049))"
6,49534,Industrial,"POLYGON ((9.149133691736402 45.44916297583253, 9.149133691736402 45.44947807782945, 9.149582849378461 45.44947807782945, 9.149582849378461 45.44916297583253, 9.149133691736402 45.44916297583253))"
7,52590,HD,"POLYGON ((9.15317611051494 45.45483454244868, 9.15317611051494 45.45514961275991, 9.153625268156999 45.45514961275991, 9.153625268156999 45.45483454244868, 9.15317611051494 45.45483454244868))"
8,105396,HD,"POLYGON ((9.20797334284623 45.50679732698541, 9.20797334284623 45.50711210684914, 9.208422500488291 45.50711210684914, 9.208422500488291 45.50679732698541, 9.20797334284623 45.50679732698541))"
9,102629,HD,"POLYGON ((9.205278396993871 45.45451947037714, 9.205278396993871 45.45483454244868, 9.205727554635931 45.45483454244868, 9.205727554635931 45.45451947037714, 9.205278396993871 45.45451947037714))"
10,20393,Agri,"POLYGON ((9.104667085172485 45.48286890679383, 9.104667085172485 45.48318382043835, 9.105116242814544 45.48318382043835, 9.105116242814544 45.48286890679383, 9.104667085172485 45.48286890679383))"
11,124194,HD,"POLYGON ((9.229532909665098 45.50459381865193, 9.229532909665098 45.5049086108375, 9.229982067307157 45.5049086108375, 9.229982067307157 45.50459381865193, 9.229532909665098 45.50459381865193))"
12,131863,Industrial,"POLYGON ((9.239414377790412 45.47247576900252, 9.239414377790412 45.47279074073663, 9.239863535432473 45.47279074073663, 9.239863535432473 45.47247576900252, 9.239414377790412 45.47247576900252))"
